,subject_id,condition,choice,rt,m1,presentation01,last_stage_favours,p0,g1,p1,m0,g0,choice_formatted,model,pred_mean_rt,pred_p_choose_0
0,11-TwoStageMixtureNoScaling,exp_90,0.0,1.8612,0.4,0.0,0.0,0.5,0.4,0.38,0.3,0.6,0.0,TwoStageWithin,1.1036,0.58
1,11-TwoStageMixtureNoScaling,exp_98,1.0,0.7161,0.6900000000000001,0.0,0.0,0.58,0.4,0.38,0.49,0.6,1.0,TwoStageWithin,1.075,0.6697
2,11-TwoStageMixtureNoScaling,exp_64,1.0,1.3002,0.52,0.0,1.0,0.72,0.4,0.51,0.42,0.6,1.0,TwoStageWithin,1.0977,0.605
3,11-TwoStageMixtureNoScaling,exp_91,0.0,2.9606,0.4,1.0,0.0,0.5,0.5,0.38,0.3,0.5,0.0,TwoStageWithin,1.1106,0.4461
4,11-TwoStageMixtureNoScaling,exp_53,1.0,1.3676,0.82,1.0,0.0,0.49,0.5,0.32,0.6900000000000001,0.5,1.0,TwoStageWithin,1.0501,0.718
5,11-TwoStageMixtureNoScaling,exp_99,1.0,1.6478,0.6900000000000001,1.0,0.0,0.58,0.5,0.38,0.49,0.5,1.0,TwoStageWithin,1.1126,0.4767
6,11-TwoStageMixtureNoScaling,exp_50,1.0,0.8493,0.82,0.0,0.0,0.49,0.4,0.32,0.6900000000000001,0.6,1.0,TwoStageWithin,0.9113,0.8639
7,11-TwoStageMixtureNoScaling,exp_57,0.0,1.1198,0.62,1.0,1.0,0.41,0.5,0.21,0.18,0.5,0.0,TwoStageWithin,1.0249,0.2326
8,11-TwoStageMixtureNoScaling,exp_101,1.0,0.5527,0.6900000000000001,1.0,0.0,0.58,0.5,0.38,0.49,0.5,1.0,TwoStageWithin,1.1126,0.4767
9,11-TwoStageMixtureNoScaling,exp_113,0.0,0.5201,0.79,1.0,1.0,0.49,0.5,0.22,0.42,0.5,0.0,TwoStageWithin,1.1127,0.487
10,11-TwoStageMixtureNoScaling,exp_107,0.0,0.7731,0.3,1.0,0.0,0.78,0.5,0.4,0.21,0.5,0.0,TwoStageWithin,1.1043,0.5766
11,11-TwoStageMixtureNoScaling,exp_23,1.0,0.2102,0.8300000000000001,1.0,1.0,0.28,0.5,0.17,0.43,0.5,1.0,TwoStageWithin,1.0832,0.3334
12,11-TwoStageMixtureNoScaling,exp_84,0.0,0.8869,0.8099999999999999,0.0,0.0,0.61,0.6,0.29,0.22,0.4,0.0,TwoStageWithin,0.8317,0.0886
13,11-TwoStageMixtureNoScaling,catch_4,0.0,0.5457,0.73,0.0,1.0,0.19,0.5,0.31,0.4,0.5,0.0,TwoStageWithin,0.7362,0.0533
14,11-TwoStageMixtureNoScaling,exp_35,0.0,0.4287,0.32,1.0,0.0,0.79,0.5,0.7,0.2,0.5,0.0,TwoStageWithin,1.0384,0.2508
15,11-TwoStageMixtureNoScaling,exp_42,0.0,0.9113,0.79,0.0,0.0,0.81,0.4,0.48,0.1699999999999999,0.6,0.0,TwoStageWithin,0.5849,0.0197
16,11-TwoStageMixtureNoScaling,exp_22,0.0,1.4714,0.8300000000000001,0.0,1.0,0.28,0.6,0.17,0.43,0.4,0.0,TwoStageWithin,1.019,0.2253
17,11-TwoStageMixtureNoScaling,exp_19,0.0,0.7777,0.8300000000000001,1.0,0.0,0.28,0.5,0.17,0.43,0.5,0.0,TwoStageWithin,1.0832,0.3334
18,11-TwoStageMixtureNoScaling,exp_8,0.0,0.7441,0.5,0.0,1.0,0.7,0.4,0.29,0.18,0.6,0.0,TwoStageWithin,1.0699,0.3037
19,11-TwoStageMixtureNoScaling,exp_18,0.0,0.3234,0.8300000000000001,0.0,0.0,0.28,0.4,0.17,0.43,0.6,0.0,TwoStageWithin,1.1119,0.4621
20,11-TwoStageMixtureNoScaling,exp_45,0.0,0.2388,0.79,1.0,0.0,0.81,0.5,0.48,0.1699999999999999,0.5,0.0,TwoStageWithin,0.4986,0.0091
21,11-TwoStageMixtureNoScaling,exp_10,0.0,1.3812,0.5,0.0,0.0,0.7,0.4,0.29,0.18,0.6,0.0,TwoStageWithin,1.1102,0.443
22,11-TwoStageMixtureNoScaling,exp_116,0.0,0.4175,0.79,0.0,0.0,0.49,0.6,0.22,0.42,0.4,0.0,TwoStageWithin,1.1126,0.477
23,11-TwoStageMixtureNoScaling,catch_9,0.0,0.3136,0.4,1.0,1.0,0.48,0.5,0.72,0.18,0.5,0.0,TwoStageWithin,0.7254,0.0501
24,11-TwoStageMixtureNoScaling,exp_74,1.0,0.9352,0.6799999999999999,0.0,0.0,0.8,0.4,0.2,0.4,0.6,1.0,TwoStageWithin,0.7334,0.9469
25,11-TwoStageMixtureNoScaling,catch_7,0.0,1.2118,0.52,1.0,1.0,0.28,0.5,0.48,0.21,0.5,0.0,TwoStageWithin,0.7246,0.0498
